3275011204050001|2025-01-10|Hadir
3275011506090002|2025-01-10|Hadir
3275012108030003|2025-01-10|Izin
3275010401070004|2025-01-10|Hadir
3275012303110005|2025-01-10|Alpha
3275010608010006|2025-01-11|Hadir
3275010912020007|2025-01-11|Hadir
3275011709050008|2025-01-11|Hadir
3275012512020009|2025-01-11|Izin
3275010202050010|2025-01-11|Hadir
3275011404060011|2025-01-12|Hadir
3275011008080012|2025-01-12|Alpha
3275011909050013|2025-01-12|Hadir
3275012307040014|2025-01-12|Hadir
3275010811020015|2025-01-12|Izin
3275011209060016|2025-01-13|Hadir
3275012503050017|2025-01-13|Hadir
3275010410070018|2025-01-13|Hadir
3275012204060019|2025-01-13|Alpha
3275011708090020|2025-01-13|Hadir
3275012121210021|2025-01-14|Hadir
3275012222220022|2025-01-14|Izin
3275012323230023|2025-01-14|Hadir
3275012424240024|2025-01-14|Hadir
3275012525250025|2025-01-14|Alpha
3275012626260026|2025-01-15|Hadir
3275012727270027|2025-01-15|Hadir
3275012828280028|2025-01-15|Izin
3275012929290029|2025-01-15|Hadir
3275013030300030|2025-01-15|Hadir
