3275011204050001|Matematika|88|2025-01-10
3275011506090002|Bahasa Inggris|90|2025-01-11
3275012108030003|Fisika|85|2025-01-12
3275010401070004|Biologi|92|2025-01-12
3275012303110005|Kimia|87|2025-01-13
3275010608010006|Bahasa Indonesia|89|2025-01-13
3275010912020007|Matematika|91|2025-01-14
3275011709050008|Bahasa Inggris|86|2025-01-14
3275012512020009|Ekonomi|84|2025-01-15
3275010202050010|Sejarah|90|2025-01-15
3275011404060011|Informatika|95|2025-01-16
3275011008080012|PPKn|88|2025-01-16
3275011909050013|Matematika|92|2025-01-17
3275012307040014|Geografi|85|2025-01-17
3275010811020015|Fisika|87|2025-01-18
3275011209060016|Bahasa Indonesia|90|2025-01-18
3275012503050017|Matematika|93|2025-01-19
3275010410070018|Sosiologi|86|2025-01-19
3275012204060019|Biologi|88|2025-01-20
3275011708090020|Ekonomi|84|2025-01-20
3275012121210021|Fisika|89|2025-01-21
3275012222220022|Bahasa Inggris|91|2025-01-21
3275012323230023|Kimia|86|2025-01-22
3275012424240024|Biologi|90|2025-01-22
3275012525250025|Matematika|88|2025-01-23
3275012626260026|Ekonomi|85|2025-01-23
3275012727270027|Fisika|92|2025-01-24
3275012828280028|PPKn|87|2025-01-24
3275012929290029|Kimia|89|2025-01-25
3275013030300030|Matematika|90|2025-01-25
